City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Atuona,17,PF,1571167236,74,-9.8,-139.03,79.03399999999999,11.119
Kyabram,100,AU,1571167236,76,-36.31,145.05,55.994,0.45
Am Timan,100,TD,1571167236,82,11.04,20.28,77.23400000000001,0.713
Kijang,20,KR,1571167692,81,35.24,129.21,51.8,2.6
Avarua,1,CK,1571167692,69,-21.21,-159.78,75.2,3.6
Albany,20,US,1571167238,36,42.65,-73.75,62.006,1.5
Reisterstown,1,US,1571167238,37,39.47,-76.83,71.99600000000001,1.5
Glasgow,20,GB,1571167693,76,55.86,-4.24,51.8,2.6
Ponta do Sol,0,BR,1571167693,31,-20.63,-46.0,87.314,1.916
Waipawa,100,NZ,1571167239,96,-39.94,176.59,51.998000000000005,0.89
Ilulissat,75,GL,1571167239,44,69.22,-51.1,21.2,6.2
Dalvik,75,SE,1571167694,93,57.79,14.13,51.998000000000005,3.6
General Pico,100,AR,1571167694,82,-35.66,-63.75,45.734,3.96
Kapaa,20,US,1571167694,74,22.08,-159.32,82.4,6.7
Leningradskiy,98,RU,1571167241,86,69.38,178.42,33.854,5.272
Tondano,40,ID,1571167241,94,1.3,124.91,73.4,0.862
Hobart,20,AU,1571167241,86,-42.88,147.33,41.0,5.7
Hinton,100,CA,1571167242,87,53.4,-117.57,33.674,1.836
Awbari,0,LY,1571167242,29,26.59,12.77,77.95400000000001,2.509
Luderitz,0,NA,1571167242,59,-26.65,15.16,66.2,5.7
Bredasdorp,14,ZA,1571167243,81,-34.53,20.04,51.8,0.5
Abaete,0,BR,1571167243,22,-19.16,-45.45,92.174,2.533
Cherskiy,100,RU,1571167243,96,68.75,161.3,19.616,3.188
Virginia Beach,75,US,1571167244,73,36.85,-75.98,75.2,3.1
Ushuaia,0,AR,1571167697,62,-54.81,-68.31,51.8,1.517
Comarapa,93,BO,1571167244,76,-17.91,-64.53,65.174,2.149
Vaini,100,IN,1571167244,86,15.34,74.49,72.914,2.671
Guerrero Negro,0,MX,1571167245,47,27.97,-114.04,75.614,4.224
Komsomolskiy,100,RU,1571167245,84,67.55,63.78,29.174,8.34
Norman Wells,75,CA,1571167246,79,65.28,-126.83,24.8,9.3
Lebu,20,ET,1571167246,55,8.96,38.73,60.8,5.1
Carnarvon,41,ZA,1571167246,11,-30.97,22.13,68.774,5.498
Puerto Ayora,20,EC,1571167247,60,-0.74,-90.35,75.2,10.3
Murgud,74,IN,1571167247,77,16.43,74.26,74.714,3.153
Coquimbo,57,CL,1571167247,59,-29.95,-71.34,66.2,6.7
Nanortalik,0,GL,1571167247,59,60.14,-45.24,38.174,2.84
Soledade,40,BR,1571167248,54,-7.06,-36.37,84.2,6.7
Nokaneng,24,BW,1571167248,12,-19.66,22.19,84.254,2.981
Mar del Plata,30,AR,1571167248,52,-46.43,-67.52,52.214,6.219
Arraial do Cabo,16,BR,1571167249,74,-22.97,-42.02,82.4,4.6
Longyearbyen,20,NO,1571167249,79,78.22,15.63,21.2,1.0
Cape Town,37,ZA,1571167700,82,-33.93,18.42,62.995999999999995,5.7
Yerbogachen,100,RU,1571167250,95,61.28,108.01,34.934,3.662
Katsuura,75,JP,1571167250,63,33.93,134.5,60.8,5.7
Khatanga,84,RU,1571167250,95,71.98,102.47,10.994,5.093
Faanui,5,PF,1571167251,80,-16.48,-151.75,79.574,5.903
Povarovo,75,RU,1571167251,69,56.08,37.05,41.0,2.0
Rikitea,17,PF,1571167251,89,-23.12,-134.97,73.274,3.644
Mahebourg,75,MU,1571167251,78,-20.41,57.7,73.4,1.5
Kifri,0,IQ,1571167252,15,34.69,44.96,79.574,4.244
Hamilton,75,CA,1571167252,62,43.26,-79.87,60.998000000000005,4.6
Saint-Georges,2,CA,1571167252,53,46.12,-70.67,53.006,3.58
Bluff,0,AU,1571167253,89,-23.58,149.07,67.334,3.844
